Testcase,Algorithm,Nodes,Edges,MaxMatching,RuntimeMs
cuplaj-0.in,Khun,20,24,9,0
cuplaj-0.in,Khun-Arb,20,24,9,0
cuplaj-0.in,Khun-Rnd,20,24,9,0
cuplaj-0.in,Dinic,20,24,9,0
cuplaj-0.in,Dinic-Scaling,20,24,9,0
cuplaj-0.in,Hopcroft-Karp,20,24,9,0
cuplaj-0.in,Hopcroft-Karp-Lin,20,24,9,0
cuplaj-1.in,Khun,18904,100000,8906,493
cuplaj-1.in,Khun-Arb,18904,100000,8906,1
cuplaj-1.in,Khun-Rnd,18904,100000,8906,1
cuplaj-1.in,Dinic,18904,100000,8906,6
cuplaj-1.in,Dinic-Scaling,18904,100000,8906,30
cuplaj-1.in,Hopcroft-Karp,18904,100000,8906,1
cuplaj-1.in,Hopcroft-Karp-Lin,18904,100000,8906,1
cuplaj-2.in,Khun,41,40,13,0
cuplaj-2.in,Khun-Arb,41,40,13,0
cuplaj-2.in,Khun-Rnd,41,40,13,0
cuplaj-2.in,Dinic,41,40,13,0
cuplaj-2.in,Dinic-Scaling,41,40,13,0
cuplaj-2.in,Hopcroft-Karp,41,40,13,0
cuplaj-2.in,Hopcroft-Karp-Lin,41,40,13,0
cuplaj-3.in,Khun,82,111,36,0
cuplaj-3.in,Khun-Arb,82,111,36,0
cuplaj-3.in,Khun-Rnd,82,111,36,0
cuplaj-3.in,Dinic,82,111,36,0
cuplaj-3.in,Dinic-Scaling,82,111,36,0
cuplaj-3.in,Hopcroft-Karp,82,111,36,0
cuplaj-3.in,Hopcroft-Karp-Lin,82,111,36,0
cuplaj-4.in,Khun,542,577,217,0
cuplaj-4.in,Khun-Arb,542,577,217,0
cuplaj-4.in,Khun-Rnd,542,577,217,0
cuplaj-4.in,Dinic,542,577,217,0
cuplaj-4.in,Dinic-Scaling,542,577,217,0
cuplaj-4.in,Hopcroft-Karp,542,577,217,0
cuplaj-4.in,Hopcroft-Karp-Lin,542,577,217,0
cuplaj-5.in,Khun,1076,2111,375,0
cuplaj-5.in,Khun-Arb,1076,2111,375,0
cuplaj-5.in,Khun-Rnd,1076,2111,375,0
cuplaj-5.in,Dinic,1076,2111,375,0
cuplaj-5.in,Dinic-Scaling,1076,2111,375,0
cuplaj-5.in,Hopcroft-Karp,1076,2111,375,0
